,Id,Activity_Date,Activity_Hour,StepTotal,Calories,TotalIntensity,AverageIntensity
0,1503960366,2016-04-12,12:00:00 AM,373,81,20,0.33
1,1503960366,2016-04-12,1:00:00 AM,160,61,8,0.13
2,1503960366,2016-04-12,2:00:00 AM,151,59,7,0.12
3,1503960366,2016-04-12,3:00:00 AM,0,47,0,0.0
4,1503960366,2016-04-12,4:00:00 AM,0,48,0,0.0
5,1503960366,2016-04-12,5:00:00 AM,0,48,0,0.0
6,1503960366,2016-04-12,6:00:00 AM,0,48,0,0.0
7,1503960366,2016-04-12,7:00:00 AM,0,47,0,0.0
8,1503960366,2016-04-12,8:00:00 AM,250,68,13,0.22
9,1503960366,2016-04-12,9:00:00 AM,1864,141,30,0.5
10,1503960366,2016-04-12,10:00:00 AM,676,99,29,0.48
11,1503960366,2016-04-12,11:00:00 AM,360,76,12,0.2
12,1503960366,2016-04-12,12:00:00 PM,253,73,11,0.18
13,1503960366,2016-04-12,1:00:00 PM,221,66,6,0.1
14,1503960366,2016-04-12,2:00:00 PM,1166,110,36,0.6
15,1503960366,2016-04-12,3:00:00 PM,2063,151,58,0.97
16,1503960366,2016-04-12,4:00:00 PM,344,76,13,0.22
17,1503960366,2016-04-12,5:00:00 PM,489,83,16,0.27
18,1503960366,2016-04-12,6:00:00 PM,1386,124,29,0.48
19,1503960366,2016-04-12,7:00:00 PM,558,104,39,0.65
20,1503960366,2016-04-12,8:00:00 PM,1733,132,41,0.68
21,1503960366,2016-04-12,9:00:00 PM,684,100,31,0.52
22,1503960366,2016-04-12,10:00:00 PM,89,65,9,0.15
23,1503960366,2016-04-12,11:00:00 PM,338,81,21,0.35
24,1503960366,2016-04-13,12:00:00 AM,144,69,14,0.23
25,1503960366,2016-04-13,1:00:00 AM,0,48,0,0.0
26,1503960366,2016-04-13,2:00:00 AM,0,47,0,0.0
27,1503960366,2016-04-13,3:00:00 AM,36,53,4,0.07
28,1503960366,2016-04-13,4:00:00 AM,0,47,0,0.0
29,1503960366,2016-04-13,5:00:00 AM,0,47,0,0.0
30,1503960366,2016-04-13,6:00:00 AM,0,48,0,0.0
31,1503960366,2016-04-13,7:00:00 AM,126,59,8,0.13
32,1503960366,2016-04-13,8:00:00 AM,275,69,12,0.2
33,1503960366,2016-04-13,9:00:00 AM,1679,136,27,0.45
34,1503960366,2016-04-13,10:00:00 AM,295,77,15,0.25
35,1503960366,2016-04-13,11:00:00 AM,524,84,16,0.27
36,1503960366,2016-04-13,12:00:00 PM,486,82,15,0.25
37,1503960366,2016-04-13,1:00:00 PM,302,72,10,0.17
38,1503960366,2016-04-13,2:00:00 PM,1577,128,46,0.77
39,1503960366,2016-04-13,3:00:00 PM,493,79,13,0.22
40,1503960366,2016-04-13,4:00:00 PM,299,71,10,0.17
41,1503960366,2016-04-13,5:00:00 PM,695,87,23,0.38
42,1503960366,2016-04-13,6:00:00 PM,1343,118,25,0.42
43,1503960366,2016-04-13,7:00:00 PM,258,73,13,0.22
44,1503960366,2016-04-13,8:00:00 PM,0,47,0,0.0
45,1503960366,2016-04-13,9:00:00 PM,0,48,0,0.0
46,1503960366,2016-04-13,10:00:00 PM,437,74,11,0.18
47,1503960366,2016-04-13,11:00:00 PM,1766,135,56,0.93
48,1503960366,2016-04-14,12:00:00 AM,81,56,4,0.07
49,1503960366,2016-04-14,1:00:00 AM,58,54,3,0.05
50,1503960366,2016-04-14,2:00:00 AM,0,47,0,0.0
51,1503960366,2016-04-14,3:00:00 AM,0,47,0,0.0
52,1503960366,2016-04-14,4:00:00 AM,0,47,0,0.0
53,1503960366,2016-04-14,5:00:00 AM,0,47,0,0.0
54,1503960366,2016-04-14,6:00:00 AM,0,47,0,0.0
55,1503960366,2016-04-14,7:00:00 AM,0,47,0,0.0
56,1503960366,2016-04-14,8:00:00 AM,0,47,0,0.0
57,1503960366,2016-04-14,9:00:00 AM,902,93,14,0.23
58,1503960366,2016-04-14,10:00:00 AM,1106,109,23,0.38
59,1503960366,2016-04-14,11:00:00 AM,50,64,7,0.12
60,1503960366,2016-04-14,12:00:00 PM,501,85,18,0.3
61,1503960366,2016-04-14,1:00:00 PM,1779,137,54,0.9
62,1503960366,2016-04-14,2:00:00 PM,1228,113,22,0.37
63,1503960366,2016-04-14,3:00:00 PM,139,66,7,0.12
64,1503960366,2016-04-14,4:00:00 PM,408,88,25,0.42
65,1503960366,2016-04-14,5:00:00 PM,37,61,5,0.08
66,1503960366,2016-04-14,6:00:00 PM,322,72,12,0.2
67,1503960366,2016-04-14,7:00:00 PM,11,55,1,0.02
68,1503960366,2016-04-14,8:00:00 PM,806,91,24,0.4
69,1503960366,2016-04-14,9:00:00 PM,2670,174,57,0.95
70,1503960366,2016-04-14,10:00:00 PM,362,79,17,0.28
71,1503960366,2016-04-14,11:00:00 PM,0,50,0,0.0
72,1503960366,2016-04-15,12:00:00 AM,83,60,6,0.1
73,1503960366,2016-04-15,1:00:00 AM,75,58,5,0.08
74,1503960366,2016-04-15,2:00:00 AM,124,59,7,0.12
75,1503960366,2016-04-15,3:00:00 AM,0,47,0,0.0
76,1503960366,2016-04-15,4:00:00 AM,0,47,0,0.0
77,1503960366,2016-04-15,5:00:00 AM,26,49,1,0.02
78,1503960366,2016-04-15,6:00:00 AM,0,47,0,0.0
79,1503960366,2016-04-15,7:00:00 AM,7,49,1,0.02
80,1503960366,2016-04-15,8:00:00 AM,55,54,5,0.08
81,1503960366,2016-04-15,9:00:00 AM,21,50,2,0.03
82,1503960366,2016-04-15,10:00:00 AM,154,63,8,0.13
83,1503960366,2016-04-15,11:00:00 AM,425,84,23,0.38
84,1503960366,2016-04-15,12:00:00 PM,270,74,13,0.22
85,1503960366,2016-04-15,1:00:00 PM,373,67,9,0.15
86,1503960366,2016-04-15,2:00:00 PM,0,47,0,0.0
87,1503960366,2016-04-15,3:00:00 PM,0,47,0,0.0
88,1503960366,2016-04-15,4:00:00 PM,0,47,0,0.0
89,1503960366,2016-04-15,5:00:00 PM,1774,140,47,0.78
90,1503960366,2016-04-15,6:00:00 PM,509,87,22,0.37
91,1503960366,2016-04-15,7:00:00 PM,519,97,32,0.53
92,1503960366,2016-04-15,8:00:00 PM,77,64,8,0.13
93,1503960366,2016-04-15,9:00:00 PM,280,75,14,0.23
94,1503960366,2016-04-15,10:00:00 PM,2145,151,66,1.1
95,1503960366,2016-04-15,11:00:00 PM,2768,182,95,1.58
96,1503960366,2016-04-16,12:00:00 AM,459,77,15,0.25
97,1503960366,2016-04-16,1:00:00 AM,0,48,0,0.0
98,1503960366,2016-04-16,2:00:00 AM,63,52,3,0.05
99,1503960366,2016-04-16,3:00:00 AM,6,48,1,0.02
100,1503960366,2016-04-16,4:00:00 AM,6,49,1,0.02
101,1503960366,2016-04-16,5:00:00 AM,12,49,1,0.02
102,1503960366,2016-04-16,6:00:00 AM,0,48,0,0.0
103,1503960366,2016-04-16,7:00:00 AM,101,54,4,0.07
104,1503960366,2016-04-16,8:00:00 AM,175,62,9,0.15
105,1503960366,2016-04-16,9:00:00 AM,1181,124,38,0.63
106,1503960366,2016-04-16,10:00:00 AM,1295,110,14,0.23
107,1503960366,2016-04-16,11:00:00 AM,2043,147,30,0.5
108,1503960366,2016-04-16,12:00:00 PM,1513,119,42,0.7
109,1503960366,2016-04-16,1:00:00 PM,3616,214,90,1.5
110,1503960366,2016-04-16,2:00:00 PM,580,82,20,0.33
111,1503960366,2016-04-16,3:00:00 PM,0,51,0,0.0
112,1503960366,2016-04-16,4:00:00 PM,15,54,2,0.03
113,1503960366,2016-04-16,5:00:00 PM,380,79,17,0.28
114,1503960366,2016-04-16,6:00:00 PM,96,65,10,0.17
115,1503960366,2016-04-16,7:00:00 PM,146,67,12,0.2
116,1503960366,2016-04-16,8:00:00 PM,385,81,19,0.32
117,1503960366,2016-04-16,9:00:00 PM,463,75,13,0.22
118,1503960366,2016-04-16,10:00:00 PM,42,55,3,0.05
119,1503960366,2016-04-16,11:00:00 PM,92,56,5,0.08
120,1503960366,2016-04-17,12:00:00 AM,0,47,0,0.0
121,1503960366,2016-04-17,1:00:00 AM,0,48,0,0.0
122,1503960366,2016-04-17,2:00:00 AM,0,47,0,0.0
123,1503960366,2016-04-17,3:00:00 AM,8,49,1,0.02
124,1503960366,2016-04-17,4:00:00 AM,0,48,0,0.0
125,1503960366,2016-04-17,5:00:00 AM,0,48,0,0.0
126,1503960366,2016-04-17,6:00:00 AM,0,48,0,0.0
127,1503960366,2016-04-17,7:00:00 AM,0,48,0,0.0
128,1503960366,2016-04-17,8:00:00 AM,0,48,0,0.0
129,1503960366,2016-04-17,9:00:00 AM,0,48,0,0.0
130,1503960366,2016-04-17,10:00:00 AM,0,47,0,0.0
131,1503960366,2016-04-17,11:00:00 AM,84,63,9,0.15
132,1503960366,2016-04-17,12:00:00 PM,260,76,18,0.3
133,1503960366,2016-04-17,1:00:00 PM,402,83,23,0.38
134,1503960366,2016-04-17,2:00:00 PM,252,69,10,0.17
135,1503960366,2016-04-17,3:00:00 PM,191,73,13,0.22
136,1503960366,2016-04-17,4:00:00 PM,13,57,2,0.03
137,1503960366,2016-04-17,5:00:00 PM,2613,174,71,1.18
138,1503960366,2016-04-17,6:00:00 PM,1616,136,39,0.65
139,1503960366,2016-04-17,7:00:00 PM,754,95,24,0.4
140,1503960366,2016-04-17,8:00:00 PM,2955,191,87,1.45
141,1503960366,2016-04-17,9:00:00 PM,487,79,16,0.27
142,1503960366,2016-04-17,10:00:00 PM,70,58,5,0.08
143,1503960366,2016-04-17,11:00:00 PM,0,50,0,0.0
144,1503960366,2016-04-18,12:00:00 AM,416,82,21,0.35
145,1503960366,2016-04-18,1:00:00 AM,0,48,0,0.0
146,1503960366,2016-04-18,2:00:00 AM,0,47,0,0.0
147,1503960366,2016-04-18,3:00:00 AM,0,47,0,0.0
148,1503960366,2016-04-18,4:00:00 AM,0,47,0,0.0
149,1503960366,2016-04-18,5:00:00 AM,0,47,0,0.0
150,1503960366,2016-04-18,6:00:00 AM,0,47,0,0.0
151,1503960366,2016-04-18,7:00:00 AM,0,47,0,0.0
152,1503960366,2016-04-18,8:00:00 AM,0,47,0,0.0
153,1503960366,2016-04-18,9:00:00 AM,1688,133,39,0.65
154,1503960366,2016-04-18,10:00:00 AM,380,81,17,0.28
155,1503960366,2016-04-18,11:00:00 AM,328,73,15,0.25
156,1503960366,2016-04-18,12:00:00 PM,1306,118,40,0.67
157,1503960366,2016-04-18,1:00:00 PM,268,70,9,0.15
158,1503960366,2016-04-18,2:00:00 PM,137,64,7,0.12
159,1503960366,2016-04-18,3:00:00 PM,495,80,14,0.23
160,1503960366,2016-04-18,4:00:00 PM,277,78,17,0.28
161,1503960366,2016-04-18,5:00:00 PM,304,79,18,0.3
162,1503960366,2016-04-18,6:00:00 PM,4074,234,114,1.9
163,1503960366,2016-04-18,7:00:00 PM,2101,157,30,0.5
164,1503960366,2016-04-18,8:00:00 PM,28,57,2,0.03
165,1503960366,2016-04-18,9:00:00 PM,187,68,11,0.18
166,1503960366,2016-04-18,10:00:00 PM,542,86,19,0.32
167,1503960366,2016-04-18,11:00:00 PM,488,83,18,0.3
168,1503960366,2016-04-19,12:00:00 AM,0,47,0,0.0
169,1503960366,2016-04-19,1:00:00 AM,22,49,1,0.02
170,1503960366,2016-04-19,2:00:00 AM,0,47,0,0.0
171,1503960366,2016-04-19,3:00:00 AM,9,50,2,0.03
172,1503960366,2016-04-19,4:00:00 AM,0,47,0,0.0
173,1503960366,2016-04-19,5:00:00 AM,0,47,0,0.0
174,1503960366,2016-04-19,6:00:00 AM,7,49,1,0.02
175,1503960366,2016-04-19,7:00:00 AM,316,75,19,0.32
176,1503960366,2016-04-19,8:00:00 AM,1656,130,38,0.63
177,1503960366,2016-04-19,9:00:00 AM,367,79,16,0.27
178,1503960366,2016-04-19,10:00:00 AM,203,75,16,0.27
179,1503960366,2016-04-19,11:00:00 AM,194,72,13,0.22
180,1503960366,2016-04-19,12:00:00 PM,1887,143,61,1.02
181,1503960366,2016-04-19,1:00:00 PM,2697,171,65,1.08
182,1503960366,2016-04-19,2:00:00 PM,409,76,12,0.2
183,1503960366,2016-04-19,3:00:00 PM,299,72,12,0.2
184,1503960366,2016-04-19,4:00:00 PM,297,71,9,0.15
185,1503960366,2016-04-19,5:00:00 PM,732,90,13,0.22
186,1503960366,2016-04-19,6:00:00 PM,1280,120,30,0.5
187,1503960366,2016-04-19,7:00:00 PM,397,93,31,0.52
188,1503960366,2016-04-19,8:00:00 PM,2487,159,69,1.15
189,1503960366,2016-04-19,9:00:00 PM,826,94,16,0.27
190,1503960366,2016-04-19,10:00:00 PM,52,58,4,0.07
191,1503960366,2016-04-19,11:00:00 PM,1369,120,48,0.8
192,1503960366,2016-04-20,12:00:00 AM,16,54,2,0.03
193,1503960366,2016-04-20,1:00:00 AM,36,53,2,0.03
194,1503960366,2016-04-20,2:00:00 AM,0,47,0,0.0
195,1503960366,2016-04-20,3:00:00 AM,0,48,0,0.0
196,1503960366,2016-04-20,4:00:00 AM,0,48,0,0.0
197,1503960366,2016-04-20,5:00:00 AM,0,47,0,0.0
198,1503960366,2016-04-20,6:00:00 AM,0,48,0,0.0
199,1503960366,2016-04-20,7:00:00 AM,29,51,3,0.05
200,1503960366,2016-04-20,8:00:00 AM,264,70,14,0.23
201,1503960366,2016-04-20,9:00:00 AM,1993,144,50,0.83
202,1503960366,2016-04-20,10:00:00 AM,459,79,13,0.22
203,1503960366,2016-04-20,11:00:00 AM,65,58,1,0.02
204,1503960366,2016-04-20,12:00:00 PM,185,64,8,0.13
205,1503960366,2016-04-20,1:00:00 PM,64,61,5,0.08
206,1503960366,2016-04-20,2:00:00 PM,1270,113,39,0.65
207,1503960366,2016-04-20,3:00:00 PM,797,97,21,0.35
208,1503960366,2016-04-20,4:00:00 PM,261,70,11,0.18
209,1503960366,2016-04-20,5:00:00 PM,13,57,2,0.03
210,1503960366,2016-04-20,6:00:00 PM,1308,114,32,0.53
211,1503960366,2016-04-20,7:00:00 PM,1558,117,36,0.6
212,1503960366,2016-04-20,8:00:00 PM,499,80,12,0.2
213,1503960366,2016-04-20,9:00:00 PM,395,83,22,0.37
214,1503960366,2016-04-20,10:00:00 PM,77,62,7,0.12
215,1503960366,2016-04-20,11:00:00 PM,1255,120,33,0.55
216,1503960366,2016-04-21,12:00:00 AM,17,54,2,0.03
217,1503960366,2016-04-21,1:00:00 AM,129,61,8,0.13
218,1503960366,2016-04-21,2:00:00 AM,81,55,5,0.08
219,1503960366,2016-04-21,3:00:00 AM,0,48,0,0.0
220,1503960366,2016-04-21,4:00:00 AM,0,47,0,0.0
221,1503960366,2016-04-21,5:00:00 AM,0,47,0,0.0
222,1503960366,2016-04-21,6:00:00 AM,0,48,0,0.0
223,1503960366,2016-04-21,7:00:00 AM,38,52,3,0.05
224,1503960366,2016-04-21,8:00:00 AM,245,71,15,0.25
225,1503960366,2016-04-21,9:00:00 AM,1672,133,26,0.43
226,1503960366,2016-04-21,10:00:00 AM,255,77,16,0.27
227,1503960366,2016-04-21,11:00:00 AM,0,55,0,0.0
228,1503960366,2016-04-21,12:00:00 PM,384,73,11,0.18
229,1503960366,2016-04-21,1:00:00 PM,1140,113,25,0.42
230,1503960366,2016-04-21,2:00:00 PM,12,58,2,0.03
231,1503960366,2016-04-21,3:00:00 PM,213,68,8,0.13
232,1503960366,2016-04-21,4:00:00 PM,26,60,4,0.07
233,1503960366,2016-04-21,5:00:00 PM,96,60,5,0.08
234,1503960366,2016-04-21,6:00:00 PM,213,69,9,0.15
235,1503960366,2016-04-21,7:00:00 PM,100,64,8,0.13
236,1503960366,2016-04-21,8:00:00 PM,3541,213,92,1.53
237,1503960366,2016-04-21,9:00:00 PM,970,104,21,0.35
238,1503960366,2016-04-21,10:00:00 PM,89,63,9,0.15
239,1503960366,2016-04-21,11:00:00 PM,598,84,15,0.25
240,1503960366,2016-04-22,12:00:00 AM,0,47,0,0.0
241,1503960366,2016-04-22,1:00:00 AM,0,47,0,0.0
242,1503960366,2016-04-22,2:00:00 AM,0,47,0,0.0
243,1503960366,2016-04-22,3:00:00 AM,0,47,0,0.0
244,1503960366,2016-04-22,4:00:00 AM,0,47,0,0.0
245,1503960366,2016-04-22,5:00:00 AM,0,47,0,0.0
246,1503960366,2016-04-22,6:00:00 AM,0,47,0,0.0
247,1503960366,2016-04-22,7:00:00 AM,0,47,0,0.0
248,1503960366,2016-04-22,8:00:00 AM,0,47,0,0.0
249,1503960366,2016-04-22,9:00:00 AM,192,65,13,0.22
250,1503960366,2016-04-22,10:00:00 AM,29,54,2,0.03
251,1503960366,2016-04-22,11:00:00 AM,958,102,34,0.57
252,1503960366,2016-04-22,12:00:00 PM,38,57,2,0.03
253,1503960366,2016-04-22,1:00:00 PM,118,60,4,0.07
254,1503960366,2016-04-22,2:00:00 PM,0,54,0,0.0
255,1503960366,2016-04-22,3:00:00 PM,180,66,10,0.17
256,1503960366,2016-04-22,4:00:00 PM,22,58,4,0.07
257,1503960366,2016-04-22,5:00:00 PM,1041,104,18,0.3
258,1503960366,2016-04-22,6:00:00 PM,514,87,23,0.38
259,1503960366,2016-04-22,7:00:00 PM,629,82,16,0.27
260,1503960366,2016-04-22,8:00:00 PM,329,71,13,0.22
