,Id,Sleep_Day,Total_Sleep_Records,Total_Minutes_Asleep,Total_Time_In_Bed,Sleeping_Hour
0,1503960366,2016-04-12,1,327,346,5.8
1,1503960366,2016-04-13,2,384,407,6.8
2,1503960366,2016-04-15,1,412,442,7.4
3,1503960366,2016-04-16,2,340,367,6.1
4,1503960366,2016-04-17,1,700,712,11.9
5,1503960366,2016-04-19,1,304,320,5.3
6,1503960366,2016-04-20,1,360,377,6.3
7,1503960366,2016-04-21,1,325,364,6.1
8,1503960366,2016-04-23,1,361,384,6.4
9,1503960366,2016-04-24,1,430,449,7.5
10,1503960366,2016-04-25,1,277,323,5.4
11,1503960366,2016-04-26,1,245,274,4.6
12,1503960366,2016-04-28,1,366,393,6.6
13,1503960366,2016-04-29,1,341,354,5.9
14,1503960366,2016-04-30,1,404,425,7.1
15,1503960366,2016-05-01,1,369,396,6.6
16,1503960366,2016-05-02,1,277,309,5.2
17,1503960366,2016-05-03,1,273,296,4.9
18,1503960366,2016-05-05,1,247,264,4.4
19,1503960366,2016-05-06,1,334,367,6.1
20,1503960366,2016-05-07,1,331,349,5.8
21,1503960366,2016-05-08,1,594,611,10.2
22,1503960366,2016-05-09,1,338,342,5.7
23,1503960366,2016-05-10,1,383,403,6.7
24,1503960366,2016-05-11,1,285,306,5.1
25,1644430081,2016-04-29,1,119,127,2.1
26,1644430081,2016-04-30,1,124,142,2.4
27,1644430081,2016-05-02,1,796,961,16.0
28,1644430081,2016-05-08,1,137,154,2.6
29,1844505072,2016-04-15,1,644,961,16.0
30,1844505072,2016-04-30,1,722,961,16.0
31,1844505072,2016-05-01,1,590,961,16.0
32,1927972279,2016-04-12,3,750,775,12.9
33,1927972279,2016-04-13,1,398,422,7.0
34,1927972279,2016-04-15,2,475,499,8.3
35,1927972279,2016-04-26,1,296,315,5.2
36,1927972279,2016-04-28,1,166,178,3.0
37,2026352035,2016-04-12,1,503,546,9.1
38,2026352035,2016-04-13,1,531,565,9.4
39,2026352035,2016-04-14,1,545,568,9.5
40,2026352035,2016-04-15,1,523,573,9.6
41,2026352035,2016-04-16,1,524,567,9.4
42,2026352035,2016-04-17,1,437,498,8.3
43,2026352035,2016-04-19,1,498,540,9.0
44,2026352035,2016-04-20,1,461,510,8.5
45,2026352035,2016-04-21,1,477,514,8.6
46,2026352035,2016-04-22,1,520,545,9.1
47,2026352035,2016-04-23,1,522,554,9.2
48,2026352035,2016-04-24,1,555,591,9.8
49,2026352035,2016-04-25,1,506,531,8.8
50,2026352035,2016-04-27,1,508,545,9.1
51,2026352035,2016-04-28,1,513,545,9.1
52,2026352035,2016-04-29,1,490,510,8.5
53,2026352035,2016-04-30,1,573,607,10.1
54,2026352035,2016-05-01,1,527,546,9.1
55,2026352035,2016-05-02,1,511,543,9.0
56,2026352035,2016-05-04,1,538,560,9.3
57,2026352035,2016-05-05,1,468,485,8.1
58,2026352035,2016-05-06,1,524,548,9.1
59,2026352035,2016-05-07,1,511,521,8.7
60,2026352035,2016-05-08,1,541,568,9.5
61,2026352035,2016-05-09,1,531,556,9.3
62,2026352035,2016-05-10,1,357,380,6.3
63,2026352035,2016-05-11,1,523,553,9.2
64,2026352035,2016-05-12,1,456,485,8.1
65,2320127002,2016-04-23,1,61,69,1.2
66,2347167796,2016-04-13,1,467,531,8.8
67,2347167796,2016-04-14,1,445,489,8.2
68,2347167796,2016-04-15,1,452,504,8.4
69,2347167796,2016-04-17,1,556,602,10.0
70,2347167796,2016-04-18,1,500,557,9.3
71,2347167796,2016-04-19,1,465,514,8.6
72,2347167796,2016-04-21,1,460,484,8.1
